GRBa;GRB X-ray position;Error;Instrument;IPNb;XAb;OTb;RAb;IAUC;zc
000910;00h13m34sÿ-77ø 58';15'*25';Uly/Ko/NE;y;;;;;
000830;23h34m12sÿ+06ø 21';3'*13';Uly/Ko/NE;y;;;;;
000820;08h57m21sÿ-08ø 49';3'*65';Uly/Ko/NE;y;;;;;
000812;18h08m44sÿ+45ø 51';4'*30';Uly/Ko/NE;y;;;;;
000811;19h58m20sÿ+23ø 32';4'*30';Uly/Ko/NE;y;;;;;
000801;11h11m46sÿ-09ø 25';4'*8';Uly/Ko/NE;y;;;;;
000730B;08h25m46sÿ+60ø 04';4'*16';Uly/Ko/NE;y;;;;;
000730;12h45m08sÿ+19ø 16';8'*30';Uly/Ko/NE;y;;;;;
000727;11h45m11sÿ+17ø 24';4'*6';Uly/Ko/NE;y;;;;;
000630;14h47m15sÿ+41ø 13';3'*16';Uly/Ko/NE;y;;y;;;
000623;11h15m41sÿ+10ø 42';6'*20';Uly/Ko/NE;y;;;;;
000620;07h35m17sÿ+69ø 12';5';SAX/WFC;y;;;;;
000616;11h20m11sÿ+26ø 16';5'*13';Uly/Ko/NE;y;;;;;
000615B;02h22m27sÿ-17ø 52';3'*10';Uly/Ko/NE;y;;;;;
000615;15h32m34sÿ+73ø 48';5';SAX/WFC;;y;;;;
000608;00h25m01sÿ-69ø 02';4';SAX/WFC;;;;;;
000607S;02h33m59sÿ+17ø 09';3'*10';Uly/Ko/NE;y;;;;;
000604;15h35m47sÿ+10ø 41';4'*8';Uly/Ko/NE;y;;;;;
000529;00h09m08sÿ-61ø 32';4';SAX/WFC;y;y;;;;
000528;10h45m25sÿ-34ø 00';4';SAX/WFC;y;y;;;;
000519;23h04m39sÿ+01ø 10';10'*10';Uly/Ko/NE;y;;;;;
000516;02h20m16sÿ-14ø 50';2'*25';Uly/Ko/NE;y;;;;;
000508B;16h54m26sÿ-20ø 26';5'*10';ASM/Uly;y;;;;;
000429;06h33m21sÿ-04ø 25';9'*10';Uly/KO/NE;y;;;;;
000424;06h58m52sÿ+49ø 52';2.5';SAX/WFC;;;;;;
000419;22h00m16sÿ+48ø 17';14'*16';Uly/KO/NE;y;;;;;
000418;12h25m21sÿ+20ø 05';4'*8';Uly/KO/NE;y;;y;y;;1.118
000416;17h15m27sÿ-71ø 36';4';SAX/WFC;;;;;;
000408;09h10m32sÿ+66ø 34';24'*5';Uly/KO/NE;y;;;;;
000326;22h11m23sÿ-26ø 08';12'*4';Uly/KO/NE;y;;;;;
000323;12h51m59sÿ+48ø 49';50'*15';Uly/BA/NE;y;;;;;
000315;22h43m21sÿ+17ø 59';4'*4';Uly/KO/NE;y;;;;;
000307;05h56m19sÿ+07ø 56';6'*10';Uly/KO/NE;y;;;;;
000301C;16h20m22sÿ+29ø 25';6'*8';ASM/Uly;y;;y;y;;2.03
000301A;23h39m27sÿ+75ø 47';5'*7';Uly/KO/NE;y;;;;;
000214;18h54m18sÿ-66ø 27';8';SAX/WFC;y;y;;;;0.37-0.47
000210;01h59m15sÿ-40ø 40';3';SAX/WFC;y;y;;y;;0.8463
000131;06h13m33sÿ-51ø 56';3.5'*16';Uly/KO/NE;y;;y;;;4.5
000126;07h44m59sÿ+07ø 44';3'*20';Uly/KO/NE;y;;;;;
000115;08h03m12sÿ-17ø 06';9'*12';BAT/PCA;y;y;;;;
991217;23h03m15sÿ+00ø 15';4.5';SAX/WFC;;;;;;
991216;05h19m31sÿ+11ø 11';3'*5';BAT/PCA;y;y;y;y;;1.02?
991208;16h33m55sÿ+46ø 26';14*1';Uly/KO/NE;y;;y;y;;0.706
991106;22h24m48sÿ+54ø 22';4';SAX/WFC;;y?;;;;
991105;12h03m01sÿ-66ø 48';5';SAX/WFC;y;;;;7301;
991014;06h51m06sÿ+11ø 36';6';SAX/WFC;y;y;;;7281;
990908;06h52m54sÿ-74ø 59';8';SAX/WFC;;;;;;
990907;07h30m48sÿ-69ø 24';8';SAX/WFC;y;y?;;;;
990806;03h10m35sÿ-68ø 07';2';SAX/WFC;;y;n;;7235;
990712;22h31m50sÿ-73ø 24';2';SAX/WFC;;;y;n;7221;0.434
990705;05h09m32sÿ-72ø 09';6';SAX/WFC;y;y;y;n;7218;0.842
990704;12h19m10sÿ-03ø 48';7';SAX/WFC;y;y;;n;7214, 7217;
990627;01h48m25sÿ-77ø 05';3';SAX/WFC;;y;;n;7211, 7213;
990625;00h26m34sÿ-31ø 12';6';SAX/WFC;;;;;;
990527;22h50m26sÿ-20ø 53';35*3';Uly/KO/NE;;;;;;
990520;08h35m05sÿ+51ø 18';3';SAX/WFC;n;y;n;n;7174;
990510;13h38m06sÿ-80ø 30';3';SAX/WFC;y;y;y;y;7160;1.619
990506;11h54m41sÿ-26ø 45';7';BAT/PCA;y;y;;y;-;1.3
990308;12h23m11sÿ+06ø 43';48'*7';ASM/Uly;y;;y;;;
990217;03h02m52sÿ-53ø 06';3';SAX/WFC;;n;n;n;7110;
990123;15h25m29sÿ+44ø 45';2';SAX/WFC;y;y;y;y;7095;1.60
981226;23h29m40sÿ-23ø 55';6';SAX/WFC;;y;?;y;7074;
981220;03h42m34sÿ+17ø 09';2'*4.5';ASM/Uly;y;-;-;n;-;
980706;10h48m00sÿ+57ø 20';4 deg;COMP/PCA;y;?;n;n;-;
980703;23h59m07sÿ+08ø 35.6';4';RXTE/ASM;;y;y;y;6966;0.966
980613;10h17m46sÿ+71ø 29.9';4';SAX/WFC;;y;y;n;6938;1.096
980519;23h22m14sÿ+77ø 15.3';3';SAX/WFC;y;y;y;y;6910;
980515;21h18m04sÿ-67ø 14.9';5';SAX/WFC;;?;;n;6909;
980425;19h34m54sÿ-52ø 49.9';8';SAX/WFC;;y;SN;y;6884;0.0085
980329;07h02m41sÿ+38ø 50.7';3';SAX/WFC;y;y;y;y;6853;3.5ph
980326;08h36m26sÿ-18ø 53.0';8';SAX/WFC;y;?;y;n;6851;1?
980109;00h25m56sÿ-63ø 01.4';10';SAX/WFC;;n;n;n;6805;
971227;12h57m35sÿ+59ø 15.4';8';SAX/WFC;;y?;?;n;6796;
971214;11h56m30sÿ+65ø 12.0';4';SAX/WFC;y;y;y;n;6787, 6789;3.42
971024;18h24m51sÿ+49ø 28.9';9.0'*1';RXTE/ASM;;y;n;n;priv. comm.;
970828;18h08m29sÿ+59ø 18.0';2.5'*1';RXTE/ASM;y;y;n;y;6726, 6728;0.9578
970815;16h08m43sÿ+81ø 30.6';6'*3';RXTE/ASM;;y;y;n;6718;
970616;01h18m57sÿ-05ø 28.0';40'*2';XTE/Uly;y;y;n;n;6683, 6687;
970508;06h53m28sÿ+79ø 17.4';3';SAX/WFC;;y;y;y;6649, 6654;0.835
970402;14h50m16sÿ-69ø 19.9';3';SAX/WFC;;y;n;n;6610;
970228;05h01m57sÿ+11ø 46.4';3';SAX/WFC;y;y;y;n;6572;0.695
970111;15h28m15sÿ+19ø 36.3';3';SAX/WFC;y;y;n;n;6533, 6569;
960720;17h30m37sÿ+49ø 05.8';3';SAX/WFC;;n;n;n;6467, 6569;
